,user_id,date_served,marketing_channel,variant,converted,language_displayed,language_preferred,age_group,date_subscribed,date_canceled,subscribing_channel,is_retained
63,a100000076,1/3/2018,House Ads,control,TRUE,English,English,19-24 years,1/3/2018,,House Ads,TRUE
64,a100000077,1/3/2018,House Ads,control,TRUE,English,English,24-30 years,1/3/2018,,House Ads,TRUE
65,a100000078,1/3/2018,House Ads,control,TRUE,English,English,30-36 years,1/3/2018,,House Ads,TRUE
66,a100000079,1/3/2018,House Ads,control,TRUE,English,English,36-45 years,1/3/2018,,House Ads,TRUE
67,a100000080,1/4/2018,House Ads,control,TRUE,English,English,45-55 years,1/4/2018,,House Ads,TRUE
68,a100000081,1/4/2018,House Ads,control,TRUE,English,English,55+ years,1/4/2018,,House Ads,TRUE
69,a100000082,1/4/2018,House Ads,control,TRUE,English,English,0-18 years,1/4/2018,,House Ads,TRUE
70,a100000083,1/4/2018,House Ads,control,TRUE,English,English,19-24 years,1/4/2018,,House Ads,TRUE
71,a100000085,1/4/2018,House Ads,control,TRUE,Spanish,Spanish,24-30 years,1/4/2018,,House Ads,TRUE
72,a100000086,1/4/2018,House Ads,control,TRUE,English,English,30-36 years,1/4/2018,,House Ads,TRUE
73,a100000087,1/4/2018,House Ads,control,TRUE,English,English,36-45 years,1/4/2018,,House Ads,TRUE
74,a100000088,1/4/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/4/2018,1/11/2018,House Ads,FALSE
75,a100000089,1/4/2018,House Ads,control,TRUE,English,English,55+ years,1/4/2018,2/9/2018,House Ads,FALSE
76,a100000090,1/4/2018,House Ads,control,TRUE,English,English,0-18 years,1/4/2018,3/25/2018,House Ads,FALSE
77,a100000091,1/4/2018,House Ads,control,TRUE,English,English,19-24 years,1/4/2018,1/6/2018,House Ads,FALSE
78,a100000092,1/4/2018,House Ads,control,TRUE,English,English,24-30 years,1/4/2018,3/12/2018,House Ads,FALSE
79,a100000093,1/4/2018,House Ads,control,TRUE,English,English,30-36 years,1/4/2018,3/10/2018,House Ads,FALSE
80,a100000094,1/4/2018,House Ads,control,TRUE,English,English,36-45 years,1/4/2018,2/14/2018,House Ads,FALSE
81,a100000095,1/4/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/4/2018,1/23/2018,House Ads,FALSE
82,a100000096,1/5/2018,House Ads,control,TRUE,English,English,55+ years,1/5/2018,2/11/2018,House Ads,FALSE
83,a100000097,1/5/2018,House Ads,control,TRUE,English,English,0-18 years,1/5/2018,,House Ads,TRUE
84,a100000098,1/5/2018,House Ads,control,TRUE,English,English,19-24 years,1/5/2018,,House Ads,TRUE
85,a100000099,1/5/2018,House Ads,control,TRUE,English,English,24-30 years,1/5/2018,,House Ads,TRUE
86,a100000099,1/4/2018,House Ads,control,FALSE,English,English,24-30 years,1/5/2018,,House Ads,TRUE
87,a100000100,1/5/2018,House Ads,control,TRUE,English,English,30-36 years,1/5/2018,,House Ads,TRUE
88,a100000100,1/4/2018,House Ads,control,FALSE,English,English,30-36 years,1/5/2018,,House Ads,TRUE
89,a100000101,1/5/2018,House Ads,control,TRUE,English,English,36-45 years,1/5/2018,4/13/2018,House Ads,FALSE
90,a100000101,1/4/2018,House Ads,control,FALSE,English,English,36-45 years,1/5/2018,4/13/2018,House Ads,FALSE
91,a100000102,1/5/2018,House Ads,control,TRUE,English,English,45-55 years,1/5/2018,4/12/2018,House Ads,FALSE
92,a100000102,1/4/2018,House Ads,control,FALSE,English,English,45-55 years,1/5/2018,4/12/2018,House Ads,FALSE
93,a100000103,1/5/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/5/2018,4/3/2018,House Ads,FALSE
94,a100000103,1/4/2018,House Ads,control,FALSE,Spanish,Spanish,55+ years,1/5/2018,4/3/2018,House Ads,FALSE
95,a100000104,1/5/2018,House Ads,control,TRUE,English,English,0-18 years,1/5/2018,2/17/2018,House Ads,FALSE
96,a100000104,1/4/2018,House Ads,control,FALSE,English,English,0-18 years,1/5/2018,2/17/2018,House Ads,FALSE
97,a100000105,1/5/2018,House Ads,control,TRUE,English,English,19-24 years,1/5/2018,4/14/2018,House Ads,FALSE
98,a100000105,1/4/2018,House Ads,control,FALSE,English,English,19-24 years,1/5/2018,4/14/2018,House Ads,FALSE
99,a100000107,1/5/2018,House Ads,control,TRUE,English,English,24-30 years,1/5/2018,1/11/2018,House Ads,FALSE
100,a100000107,1/4/2018,House Ads,control,FALSE,English,English,24-30 years,1/5/2018,1/11/2018,House Ads,FALSE
101,a100000108,1/5/2018,House Ads,control,TRUE,English,English,30-36 years,1/5/2018,2/3/2018,House Ads,FALSE
102,a100000108,1/4/2018,House Ads,control,FALSE,English,English,30-36 years,1/5/2018,2/3/2018,House Ads,FALSE
103,a100000109,1/5/2018,House Ads,control,TRUE,Spanish,Spanish,36-45 years,1/5/2018,1/8/2018,House Ads,FALSE
104,a100000109,1/4/2018,House Ads,control,FALSE,Spanish,Spanish,36-45 years,1/5/2018,1/8/2018,House Ads,FALSE
105,a100000110,1/5/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/5/2018,1/27/2018,House Ads,FALSE
106,a100000110,1/4/2018,House Ads,control,FALSE,Spanish,Spanish,45-55 years,1/5/2018,1/27/2018,House Ads,FALSE
107,a100000111,1/5/2018,House Ads,control,TRUE,English,English,55+ years,1/5/2018,,House Ads,TRUE
108,a100000111,1/4/2018,House Ads,control,FALSE,English,English,55+ years,1/5/2018,,House Ads,TRUE
109,a100000112,1/5/2018,House Ads,control,TRUE,English,English,0-18 years,1/5/2018,,House Ads,TRUE
110,a100000112,1/4/2018,House Ads,control,FALSE,English,English,0-18 years,1/5/2018,,House Ads,TRUE
111,a100000113,1/5/2018,House Ads,control,TRUE,English,English,19-24 years,1/5/2018,,House Ads,TRUE
112,a100000114,1/5/2018,House Ads,control,TRUE,English,English,24-30 years,1/5/2018,,House Ads,TRUE
113,a100000127,1/5/2018,House Ads,control,TRUE,English,English,30-36 years,1/5/2018,,House Ads,TRUE
114,a100000128,1/5/2018,House Ads,control,TRUE,English,English,36-45 years,1/5/2018,,House Ads,TRUE
115,a100000129,1/6/2018,House Ads,control,TRUE,English,English,45-55 years,1/6/2018,,House Ads,TRUE
116,a100000130,1/6/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/6/2018,,House Ads,TRUE
117,a100000131,1/6/2018,House Ads,control,TRUE,English,English,0-18 years,1/6/2018,,House Ads,TRUE
118,a100000132,1/6/2018,House Ads,control,TRUE,English,English,19-24 years,1/6/2018,,House Ads,TRUE
119,a100000133,1/6/2018,House Ads,control,TRUE,English,English,24-30 years,1/6/2018,,House Ads,TRUE
120,a100000134,1/6/2018,House Ads,control,TRUE,English,English,30-36 years,1/6/2018,,House Ads,TRUE
121,a100000150,1/6/2018,House Ads,control,TRUE,English,English,36-45 years,1/6/2018,,House Ads,TRUE
122,a100000151,1/6/2018,House Ads,control,TRUE,Arabic,Arabic,45-55 years,1/6/2018,,House Ads,TRUE
123,a100000152,1/6/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/6/2018,,House Ads,TRUE
124,a100000153,1/6/2018,House Ads,control,TRUE,Arabic,Arabic,0-18 years,1/6/2018,,House Ads,TRUE
125,a100000154,1/6/2018,House Ads,control,TRUE,English,English,19-24 years,1/6/2018,,House Ads,TRUE
126,a100000155,1/6/2018,House Ads,control,TRUE,English,English,24-30 years,1/6/2018,,House Ads,TRUE
127,a100000156,1/6/2018,House Ads,control,TRUE,English,English,30-36 years,1/6/2018,,House Ads,TRUE
128,a100000157,1/6/2018,House Ads,control,TRUE,English,English,36-45 years,1/6/2018,,House Ads,TRUE
129,a100000162,1/6/2018,House Ads,control,TRUE,English,English,45-55 years,1/6/2018,,House Ads,TRUE
130,a100000163,1/6/2018,House Ads,control,TRUE,Arabic,Arabic,55+ years,1/6/2018,,House Ads,TRUE
131,a100000164,1/6/2018,House Ads,control,TRUE,English,English,0-18 years,1/6/2018,3/10/2018,House Ads,FALSE
132,a100000165,1/7/2018,House Ads,control,TRUE,Arabic,Arabic,19-24 years,1/7/2018,3/11/2018,House Ads,FALSE
133,a100000166,1/7/2018,House Ads,control,TRUE,English,English,24-30 years,1/7/2018,3/25/2018,House Ads,FALSE
134,a100000167,1/7/2018,House Ads,control,TRUE,English,English,30-36 years,1/7/2018,2/21/2018,House Ads,FALSE
135,a100000168,1/7/2018,House Ads,control,TRUE,English,English,36-45 years,1/7/2018,2/25/2018,House Ads,FALSE
136,a100000169,1/7/2018,House Ads,control,TRUE,English,English,45-55 years,1/7/2018,3/5/2018,House Ads,FALSE
137,a100000170,1/7/2018,House Ads,control,TRUE,English,English,55+ years,1/7/2018,4/16/2018,House Ads,FALSE
138,a100000171,1/7/2018,House Ads,control,TRUE,English,English,0-18 years,1/7/2018,2/6/2018,House Ads,FALSE
139,a100000172,1/7/2018,House Ads,control,TRUE,German,German,19-24 years,1/7/2018,2/5/2018,House Ads,FALSE
140,a100000250,1/7/2018,House Ads,control,TRUE,English,English,24-30 years,1/7/2018,,House Ads,TRUE
141,a100000251,1/7/2018,House Ads,control,TRUE,English,English,30-36 years,1/7/2018,,House Ads,TRUE
142,a100000252,1/7/2018,House Ads,control,TRUE,German,German,36-45 years,1/7/2018,,House Ads,TRUE
143,a100000253,1/7/2018,House Ads,control,TRUE,Arabic,Arabic,45-55 years,1/7/2018,,House Ads,TRUE
144,a100000254,1/7/2018,House Ads,control,TRUE,English,English,55+ years,1/7/2018,,House Ads,TRUE
145,a100000255,1/7/2018,House Ads,control,TRUE,English,English,0-18 years,1/7/2018,,House Ads,TRUE
146,a100000256,1/7/2018,House Ads,control,TRUE,English,English,19-24 years,1/7/2018,,House Ads,TRUE
147,a100000257,1/7/2018,House Ads,control,TRUE,English,English,24-30 years,1/7/2018,,House Ads,TRUE
148,a100000258,1/7/2018,House Ads,control,TRUE,English,English,30-36 years,1/7/2018,,House Ads,TRUE
149,a100000259,1/7/2018,House Ads,control,TRUE,English,English,36-45 years,1/7/2018,,House Ads,TRUE
150,a100000260,1/7/2018,House Ads,control,TRUE,Spanish,Spanish,45-55 years,1/7/2018,1/14/2018,House Ads,FALSE
151,a100000261,1/8/2018,House Ads,control,TRUE,English,English,55+ years,1/8/2018,3/13/2018,House Ads,FALSE
152,a100000262,1/8/2018,House Ads,control,TRUE,English,English,0-18 years,1/8/2018,2/22/2018,House Ads,FALSE
153,a100000263,1/8/2018,House Ads,control,TRUE,English,English,19-24 years,1/8/2018,1/11/2018,House Ads,FALSE
154,a100000264,1/8/2018,House Ads,control,TRUE,German,German,24-30 years,1/8/2018,3/19/2018,House Ads,FALSE
155,a100000265,1/8/2018,House Ads,control,TRUE,German,German,30-36 years,1/8/2018,2/10/2018,House Ads,FALSE
156,a100000266,1/8/2018,House Ads,control,TRUE,English,English,36-45 years,1/8/2018,3/30/2018,House Ads,FALSE
157,a100000267,1/8/2018,House Ads,control,TRUE,English,English,45-55 years,1/8/2018,1/15/2018,House Ads,FALSE
158,a100000268,1/8/2018,House Ads,control,TRUE,English,English,55+ years,1/8/2018,2/21/2018,House Ads,FALSE
159,a100000269,1/8/2018,House Ads,control,TRUE,English,English,0-18 years,1/8/2018,,House Ads,TRUE
160,a100000270,1/8/2018,House Ads,control,TRUE,English,English,19-24 years,1/8/2018,,House Ads,TRUE
161,a100000271,1/8/2018,House Ads,control,TRUE,English,English,24-30 years,1/8/2018,,House Ads,TRUE
162,a100000272,1/8/2018,House Ads,control,TRUE,English,English,30-36 years,1/8/2018,,House Ads,TRUE
163,a100000273,1/8/2018,House Ads,control,TRUE,German,German,36-45 years,1/8/2018,,House Ads,TRUE
164,a100000274,1/8/2018,House Ads,control,TRUE,English,English,45-55 years,1/8/2018,,House Ads,TRUE
165,a100000275,1/8/2018,House Ads,control,TRUE,Spanish,Spanish,55+ years,1/8/2018,,House Ads,TRUE
166,a100000276,1/8/2018,House Ads,control,TRUE,Spanish,Spanish,0-18 years,1/8/2018,,House Ads,TRUE
167,a100000277,1/9/2018,House Ads,control,TRUE,Spanish,Spanish,19-24 years,1/9/2018,,House Ads,TRUE
168,a100000278,1/9/2018,House Ads,control,TRUE,English,English,24-30 years,1/9/2018,,House Ads,TRUE
169,a100000279,1/9/2018,House Ads,control,TRUE,English,English,30-36 years,1/9/2018,,House Ads,TRUE
170,a100000280,1/9/2018,House Ads,control,TRUE,English,English,36-45 years,1/9/2018,,House Ads,TRUE
171,a100000281,1/9/2018,House Ads,control,TRUE,English,English,45-55 years,1/9/2018,,House Ads,TRUE
172,a100000282,1/9/2018,House Ads,control,TRUE,English,English,55+ years,1/9/2018,,House Ads,TRUE
173,a100000283,1/9/2018,House Ads,control,TRUE,English,English,0-18 years,1/9/2018,,House Ads,TRUE
174,a100000284,1/9/2018,House Ads,control,TRUE,English,English,19-24 years,1/9/2018,,House Ads,TRUE
175,a100000285,1/9/2018,House Ads,control,TRUE,English,English,24-30 years,1/9/2018,,House Ads,TRUE
176,a100000286,1/9/2018,House Ads,control,TRUE,English,English,30-36 years,1/9/2018,,House Ads,TRUE
177,a100000287,1/9/2018,House Ads,control,TRUE,English,English,36-45 years,1/9/2018,,House Ads,TRUE
178,a100000288,1/9/2018,House Ads,control,TRUE,English,English,45-55 years,1/9/2018,,House Ads,TRUE
179,a100000289,1/9/2018,House Ads,control,TRUE,English,English,55+ years,1/9/2018,,House Ads,TRUE
180,a100000290,1/9/2018,House Ads,control,TRUE,English,English,0-18 years,1/9/2018,,House Ads,TRUE
181,a100000291,1/9/2018,House Ads,control,TRUE,English,English,19-24 years,1/9/2018,,House Ads,TRUE
182,a100000292,1/9/2018,House Ads,control,TRUE,English,English,24-30 years,1/9/2018,,House Ads,TRUE
183,a100000293,1/9/2018,House Ads,control,TRUE,English,English,30-36 years,1/9/2018,,House Ads,TRUE
184,a100000294,1/9/2018,House Ads,control,TRUE,English,English,36-45 years,1/9/2018,1/14/2018,House Ads,FALSE
185,a100000295,1/9/2018,House Ads,control,TRUE,English,English,45-55 years,1/9/2018,2/4/2018,House Ads,FALSE
186,a100000296,1/9/2018,House Ads,control,TRUE,English,English,55+ years,1/9/2018,2/4/2018,House Ads,FALSE
187,a100000297,1/10/2018,House Ads,control,TRUE,German,German,0-18 years,1/10/2018,2/9/2018,House Ads,FALSE
188,a100000298,1/10/2018,House Ads,control,TRUE,German,German,19-24 years,1/10/2018,1/21/2018,House Ads,FALSE
189,a100000299,1/10/2018,House Ads,control,TRUE,English,English,24-30 years,1/10/2018,3/7/2018,House Ads,FALSE
190,a100000300,1/10/2018,House Ads,control,TRUE,English,English,30-36 years,1/10/2018,4/10/2018,House Ads,FALSE
191,a100000301,1/10/2018,House Ads,control,TRUE,Spanish,Spanish,36-45 years,1/10/2018,4/16/2018,House Ads,FALSE
192,a100000302,1/10/2018,House Ads,control,TRUE,English,English,45-55 years,1/10/2018,3/26/2018,House Ads,FALSE
193,a100000303,1/10/2018,House Ads,control,TRUE,English,English,55+ years,1/10/2018,,House Ads,TRUE
194,a100000304,1/10/2018,House Ads,control,TRUE,English,English,0-18 years,1/10/2018,,House Ads,TRUE
195,a100000305,1/10/2018,House Ads,control,TRUE,English,English,19-24 years,1/10/2018,,House Ads,TRUE
196,a100000306,1/10/2018,House Ads,control,TRUE,English,English,24-30 years,1/10/2018,,House Ads,TRUE
197,a100000307,1/10/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/10/2018,,House Ads,TRUE
198,a100000308,1/10/2018,House Ads,control,TRUE,English,English,36-45 years,1/10/2018,,House Ads,TRUE
199,a100000309,1/10/2018,House Ads,control,TRUE,English,English,45-55 years,1/10/2018,,House Ads,TRUE
200,a100000310,1/10/2018,House Ads,control,TRUE,English,English,55+ years,1/10/2018,,House Ads,TRUE
201,a100000311,1/10/2018,House Ads,control,TRUE,English,English,0-18 years,1/10/2018,,House Ads,TRUE
202,a100000312,1/10/2018,House Ads,control,TRUE,English,English,19-24 years,1/10/2018,,House Ads,TRUE
203,a100000313,1/10/2018,House Ads,control,TRUE,English,English,24-30 years,1/10/2018,,House Ads,TRUE
204,a100000314,1/10/2018,House Ads,control,TRUE,Spanish,Spanish,30-36 years,1/10/2018,,House Ads,TRUE
205,a100000315,1/10/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/10/2018,,House Ads,TRUE
206,a100000316,1/10/2018,House Ads,personalization,TRUE,English,English,45-55 years,1/10/2018,,House Ads,TRUE
207,a100000317,1/10/2018,House Ads,personalization,TRUE,Spanish,Spanish,55+ years,1/10/2018,4/19/2018,House Ads,FALSE
208,a100000318,1/11/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/11/2018,3/4/2018,House Ads,FALSE
209,a100000319,1/12/2018,House Ads,personalization,TRUE,English,Spanish,19-24 years,1/12/2018,1/26/2018,House Ads,FALSE
210,a100000320,1/13/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/13/2018,4/5/2018,House Ads,FALSE
211,a100000321,1/14/2018,House Ads,personalization,TRUE,English,English,30-36 years,1/14/2018,1/26/2018,House Ads,FALSE
212,a100000322,1/15/2018,House Ads,personalization,TRUE,English,English,36-45 years,1/15/2018,3/15/2018,House Ads,FALSE
213,a100000323,1/16/2018,House Ads,personalization,TRUE,English,English,45-55 years,1/16/2018,4/22/2018,House Ads,FALSE
214,a100000324,1/17/2018,House Ads,personalization,TRUE,English,English,55+ years,1/17/2018,2/11/2018,House Ads,FALSE
215,a100000325,1/18/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/18/2018,1/23/2018,House Ads,FALSE
216,a100000326,1/19/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/19/2018,,House Ads,TRUE
217,a100000327,1/20/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/20/2018,,House Ads,TRUE
218,a100000328,1/21/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/21/2018,,House Ads,TRUE
219,a100000328,1/10/2018,House Ads,personalization,FALSE,English,English,0-18 years,1/21/2018,,House Ads,TRUE
220,a100000329,1/22/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/22/2018,,House Ads,TRUE
221,a100000329,1/10/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/22/2018,,House Ads,TRUE
222,a100000330,1/23/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/23/2018,,House Ads,TRUE
223,a100000330,1/10/2018,Push,personalization,FALSE,English,English,24-30 years,1/23/2018,,House Ads,TRUE
224,a100000331,1/24/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/24/2018,,House Ads,TRUE
225,a100000331,1/10/2018,House Ads,personalization,FALSE,English,English,0-18 years,1/24/2018,,House Ads,TRUE
226,a100000332,1/25/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/25/2018,,House Ads,TRUE
227,a100000332,1/10/2018,House Ads,personalization,FALSE,English,English,19-24 years,1/25/2018,,House Ads,TRUE
228,a100000333,1/26/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/26/2018,,House Ads,TRUE
229,a100000333,1/10/2018,House Ads,personalization,FALSE,English,English,24-30 years,1/26/2018,,House Ads,TRUE
230,a100000334,1/27/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/27/2018,,House Ads,TRUE
231,a100000334,1/10/2018,Push,personalization,FALSE,English,English,0-18 years,1/27/2018,,House Ads,TRUE
232,a100000335,1/28/2018,House Ads,personalization,TRUE,English,Spanish,19-24 years,1/28/2018,,House Ads,TRUE
233,a100000335,1/10/2018,Facebook,personalization,FALSE,Spanish,Spanish,19-24 years,1/28/2018,,House Ads,TRUE
234,a100000336,1/29/2018,House Ads,personalization,TRUE,English,English,24-30 years,1/29/2018,,House Ads,TRUE
235,a100000336,1/10/2018,Instagram,personalization,FALSE,English,English,24-30 years,1/29/2018,,House Ads,TRUE
236,a100000337,1/30/2018,House Ads,personalization,TRUE,English,English,0-18 years,1/30/2018,2/9/2018,House Ads,FALSE
237,a100000337,1/10/2018,Instagram,personalization,FALSE,English,English,0-18 years,1/30/2018,2/9/2018,House Ads,FALSE
238,a100000338,1/31/2018,House Ads,personalization,TRUE,English,English,19-24 years,1/31/2018,4/29/2018,House Ads,FALSE
239,a100000338,1/10/2018,Facebook,personalization,FALSE,English,English,19-24 years,1/31/2018,4/29/2018,House Ads,FALSE
